15:41:48:982,null
15:41:49:322,-98,-6
15:41:49:674,-99,-4
15:41:50:022,null
15:41:50:371,-99,-3
15:41:50:723,-101,-8
15:41:51:071,-98,-10
15:41:51:423,-99,-8
15:41:51:775,-100,-5
15:41:52:123,-99,-4
15:41:52:475,-98,-3
15:41:52:823,-98,-1
15:41:53:175,-97,-3
15:41:53:524,-98,-2
15:41:53:874,-97,-4
15:41:54:222,-97,0
15:41:54:574,-96,-1
15:41:54:926,-97,-1
15:41:55:274,-97,0
15:41:55:626,-97,-2
15:41:55:974,-98,-3
15:41:56:326,-96,1
15:41:56:674,-96,0
15:41:57:026,-97,0
15:41:57:374,-98,-1
15:41:57:727,-97,-1
15:41:58:075,-99,-2
15:41:58:427,-96,-4
15:41:58:778,-98,-4
15:41:59:127,-97,-1
15:41:59:479,-96,-2
15:41:59:827,-97,-1
15:42:00:179,-97,-1
15:42:00:526,-96,-1
15:42:00:878,-97,-1
15:42:01:230,-97,-3
15:42:01:578,-98,-4
15:42:01:930,-99,-4
15:42:02:278,-98,-4
15:42:02:630,-98,-5
15:42:02:978,-99,-3
15:42:03:330,-98,-3
15:42:03:682,-96,-3
15:42:04:030,-97,0
15:42:04:382,-98,-3
15:42:04:730,-99,-2
15:42:05:082,-99,-3
15:42:05:430,-99,-2
15:42:05:782,-98,-1
15:42:06:142,null
15:42:06:482,-97,-1
15:42:06:834,-97,-1
15:42:07:182,-97,0
15:42:07:531,null
15:42:07:883,-96,0
15:42:08:235,-95,2
15:42:08:584,-98,0
15:42:08:934,-99,-2
15:42:09:282,-98,-1
15:42:09:634,-97,-1
15:42:09:986,-97,-1
15:42:10:335,-96,0
15:42:10:683,-96,1
15:42:11:035,-96,-1
15:42:11:387,-98,-3
15:42:11:747,null
15:42:12:087,-98,-2
15:42:12:435,-97,-1
15:42:12:787,-96,0
15:42:13:135,-96,2
15:42:13:488,-96,2
15:42:13:835,-97,1
15:42:14:187,-96,0
15:42:14:535,-98,-1
15:42:14:887,-96,0
15:42:15:235,-96,0
15:42:15:587,-97,0
15:42:15:935,-98,-4
15:42:16:287,-98,-2
15:42:16:639,-96,0
15:42:16:987,-95,1
15:42:17:339,-96,1
15:42:17:688,-94,2
15:42:18:036,-95,2
15:42:18:388,-96,1
15:42:18:738,-94,3
15:42:19:090,-94,4
15:42:19:438,-94,3
15:42:19:790,-95,0
15:42:20:142,-97,0
15:42:20:490,-99,-4
15:42:20:842,-96,0
15:42:21:190,-96,0
15:42:21:542,-97,-1
15:42:21:890,-96,0
15:42:22:242,-96,0
15:42:22:590,-95,2
15:42:22:942,-94,4
15:42:23:294,-94,1
15:42:23:642,-95,1
15:42:23:990,-94,3
15:42:24:342,-93,3
15:42:24:690,-95,1
15:42:25:042,-93,4
15:42:25:394,-93,5
15:42:25:742,-94,3
15:42:26:094,-95,2
15:42:26:442,-95,3
15:42:26:794,-98,-2
15:42:27:142,null
15:42:27:496,-96,1
15:42:27:844,-96,0
15:42:28:196,-94,0
15:42:28:545,-98,-1
15:42:28:893,-96,1
15:42:29:247,-96,0
15:42:29:595,-96,0
15:42:29:947,-97,0
15:42:30:296,-96,1
15:42:30:648,-96,0
15:42:30:996,-97,-1
15:42:31:348,-96,0
15:42:31:696,-98,-2
15:42:32:048,-97,-1
15:42:32:396,-95,1
15:42:32:748,-97,-1
15:42:33:096,-95,1
15:42:33:448,-96,0
15:42:33:799,-98,-3
15:42:34:147,-98,0
15:42:34:499,-96,0
15:42:34:847,-98,-1
15:42:35:199,null
15:42:35:547,-98,-2
15:42:35:899,-99,-4
15:42:36:247,-95,-4
15:42:36:599,-98,0
15:42:36:951,-96,1
15:42:37:299,-97,-1
15:42:37:648,-98,-3
15:42:38:000,-97,-2
15:42:38:348,-95,2
15:42:38:702,-96,0
15:42:39:050,-98,-2
15:42:39:402,-98,0
15:42:39:750,-96,0
15:42:40:102,-96,1
15:42:40:451,-96,1
15:42:40:803,-96,2
15:42:41:151,-95,1
15:42:41:503,-96,2
15:42:41:855,-95,0
15:42:42:203,-96,1
15:42:42:555,-96,0
15:42:42:903,-96,0
15:42:43:255,-95,0
15:42:43:605,-95,1
15:42:43:965,null
15:42:44:305,-98,-6
15:42:44:653,-100,-4
15:42:45:005,-100,-6
15:42:45:353,-98,-3
15:42:45:705,null
15:42:46:053,-98,-5
15:42:46:405,-99,-1
15:42:46:753,-97,-4
15:42:47:105,-97,0
15:42:47:456,-97,0
15:42:47:808,-98,-2
15:42:48:156,-98,-4
15:42:48:505,-99,-8
